timestamp_utc,occupancy,status
2026-08-17T12:48:47Z,168,moderate
2026-08-17T13:30:03Z,189,moderate
2026-08-17T14:03:47Z,223,moderate
2026-08-17T14:38:27Z,236,moderate
2026-08-17T15:01:31Z,250,moderate
2026-08-17T15:33:50Z,286,moderate
2026-08-17T15:54:14Z,304,moderate
2026-08-17T16:18:36Z,323,moderate
2026-08-17T16:50:56Z,364,moderate
2026-08-17T17:14:44Z,385,moderate
2026-08-17T17:47:13Z,415,moderate
2026-08-17T18:18:47Z,418,moderate
2026-08-17T19:04:41Z,464,moderate
2026-08-17T19:36:21Z,475,moderate
2026-08-17T19:56:25Z,489,moderate
2026-08-17T20:24:18Z,522,moderate
2026-08-17T20:51:14Z,548,moderate
2026-08-17T21:13:16Z,580,active
2026-08-17T21:42:15Z,622,active
2026-08-17T22:00:04Z,662,active
2026-08-17T22:33:58Z,763,active
2026-08-17T22:54:57Z,798,active
2026-08-17T23:17:24Z,846,active
2026-08-17T23:42:49Z,868,active
2026-08-17T23:59:27Z,910,active
2026-08-18T01:45:09Z,1028,full
2026-08-18T02:42:50Z,1043,full
2026-08-18T09:02:53Z,0,light
2026-08-18T09:43:27Z,50,light
2026-08-18T10:04:23Z,65,light
2026-08-18T10:40:45Z,89,light
2026-08-18T11:03:08Z,121,light
2026-08-18T11:35:15Z,177,moderate
2026-08-18T11:56:58Z,208,moderate
2026-08-18T12:44:20Z,256,moderate
2026-08-18T13:30:30Z,291,moderate
2026-08-18T14:09:04Z,304,moderate
2026-08-18T14:52:42Z,365,moderate
2026-08-18T15:19:58Z,385,moderate
2026-08-18T15:53:19Z,405,moderate
2026-08-18T16:19:16Z,419,moderate
2026-08-18T16:54:03Z,444,moderate
2026-08-18T17:19:53Z,456,moderate
2026-08-18T17:49:24Z,491,moderate
2026-08-18T18:17:40Z,507,moderate
2026-08-18T19:03:30Z,565,active
2026-08-18T19:35:15Z,579,active
2026-08-18T19:53:39Z,594,active
2026-08-18T20:12:50Z,611,active
2026-08-18T20:41:31Z,627,active
2026-08-18T21:00:21Z,653,active
2026-08-18T21:32:34Z,718,active
2026-08-18T21:51:55Z,747,active
2026-08-18T22:08:58Z,786,active
2026-08-18T22:41:37Z,837,active
2026-08-18T23:00:19Z,867,active
2026-08-18T23:30:29Z,927,active
2026-08-18T23:51:49Z,947,active
2026-08-19T00:27:01Z,1001,full
2026-08-19T02:00:18Z,1068,full
2026-08-19T09:00:47Z,0,light
2026-08-19T09:43:01Z,15,light
2026-08-19T10:04:33Z,35,light
2026-08-19T10:40:32Z,62,light
2026-08-19T11:02:20Z,88,light
2026-08-19T11:34:16Z,149,moderate
2026-08-19T11:55:40Z,180,moderate
2026-08-19T12:38:27Z,229,moderate
2026-08-19T13:31:08Z,283,moderate
2026-08-19T14:09:11Z,317,moderate
2026-08-19T14:53:07Z,335,moderate
2026-08-19T15:20:18Z,355,moderate
2026-08-19T15:52:44Z,385,moderate
2026-08-19T16:17:27Z,406,moderate
2026-08-19T16:52:33Z,436,moderate
2026-08-19T17:15:43Z,452,moderate
2026-08-19T17:43:42Z,480,moderate
2026-08-19T18:00:23Z,480,moderate
2026-08-19T18:47:58Z,514,moderate
2026-08-19T19:15:48Z,532,moderate
2026-08-19T19:42:53Z,546,moderate
2026-08-19T20:00:16Z,546,moderate
2026-08-19T20:38:24Z,577,active
